PCT,crime_category,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
5,non_seven_major_felony-offenses,OTHER FELONIES (4),93.0,89.0,74.0,68.0,80.0,91.0,122.0,138.0,133.0,83.0,88.0,117.0,114.0,103.0,49.0,173.0
5,non_seven_major_felony-offenses,TOTAL NON-SEVEN MAJOR FELONY OFFENSES,602.0,648.0,584.0,531.0,579.0,634.0,741.0,715.0,696.0,582.0,556.0,487.0,467.0,414.0,369.0,489.0
5,misdemeanor_offenses_listing,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,8.0,6.0,8.0,16.0,11.0,17.0,14.0,19.0,10.0,41.0,92.0,21.0,17.0,20.0,11.0,9.0
5,misdemeanor_offenses_listing,MISDEMEANOR SEX CRIMES (4),37.0,28.0,24.0,29.0,25.0,19.0,27.0,19.0,37.0,40.0,39.0,43.0,32.0,42.0,31.0,61.0
5,misdemeanor_offenses_listing,MISDEMEANOR DANGEROUS DRUGS  (1),240.0,246.0,232.0,208.0,154.0,153.0,123.0,164.0,147.0,204.0,218.0,198.0,261.0,237.0,326.0,324.0
5,misdemeanor_offenses_listing,MISDEMEANOR DANGEROUS WEAPONS (5)               ,32.0,20.0,21.0,21.0,15.0,20.0,24.0,34.0,37.0,37.0,33.0,31.0,23.0,24.0,32.0,50.0
5,misdemeanor_offenses_listing,PETIT LARCENY                         ,909.0,846.0,834.0,793.0,798.0,871.0,808.0,859.0,1020.0,1014.0,1263.0,1197.0,1240.0,1288.0,1085.0,955.0
5,misdemeanor_offenses_listing,ASSAULT 3 AND RELATED OFFENSES        ,374.0,373.0,290.0,317.0,310.0,299.0,293.0,322.0,292.0,329.0,318.0,317.0,330.0,304.0,300.0,324.0
5,misdemeanor_offenses_listing,INTOXICATED & IMPAIRED DRIVING              ,21.0,15.0,12.0,15.0,23.0,36.0,27.0,29.0,24.0,17.0,31.0,26.0,28.0,29.0,24.0,22.0
5,misdemeanor_offenses_listing,VEHICLE AND TRAFFIC LAWS              ,75.0,64.0,51.0,60.0,59.0,41.0,33.0,38.0,46.0,29.0,37.0,41.0,41.0,47.0,52.0,43.0
5,misdemeanor_offenses_listing,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,395.0,346.0,319.0,315.0,254.0,307.0,287.0,291.0,302.0,276.0,429.0,437.0,416.0,367.0,373.0,372.0
5,misdemeanor_offenses_listing,CRIMINAL TRESPASS,50.0,43.0,55.0,61.0,75.0,71.0,104.0,61.0,72.0,82.0,89.0,90.0,108.0,105.0,145.0,162.0
5,misdemeanor_offenses_listing,UNAUTHORIZED USE OF A VEHICLE           ,2.0,6.0,1.0,4.0,1.0,3.0,1.0,2.0,3.0,3.0,0.0,1.0,2.0,3.0,4.0,3.0
5,misdemeanor_offenses_listing,OFFENSES AGAINST THE PERSON (7)      ,4.0,4.0,6.0,7.0,6.0,3.0,2.0,8.0,10.0,3.0,4.0,5.0,6.0,9.0,23.0,25.0
5,misdemeanor_offenses_listing,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),60.0,72.0,71.0,76.0,95.0,129.0,102.0,116.0,113.0,123.0,86.0,98.0,120.0,108.0,98.0,68.0
5,misdemeanor_offenses_listing,ADMINISTRATIVE CODE (6)            ,3.0,1.0,1.0,1.0,3.0,6.0,5.0,5.0,4.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0
5,misdemeanor_offenses_listing,FRAUDS (3)                    ,77.0,122.0,142.0,349.0,348.0,318.0,440.0,453.0,567.0,487.0,519.0,329.0,271.0,263.0,255.0,182.0
5,misdemeanor_offenses_listing,AGGRAVATED HARASSMENT 2               ,230.0,248.0,231.0,165.0,289.0,154.0,163.0,192.0,174.0,192.0,191.0,169.0,145.0,131.0,84.0,109.0
5,misdemeanor_offenses_listing,OTHER MISDEMEANORS (8),338.0,419.0,206.0,171.0,189.0,150.0,192.0,237.0,285.0,357.0,345.0,317.0,335.0,459.0,556.0,628.0
5,misdemeanor_offenses_listing,TOTAL MISDEMEANOR OFFENSES,2855.0,2859.0,2504.0,2608.0,2655.0,2597.0,2645.0,2849.0,3143.0,3236.0,3697.0,3320.0,3375.0,3437.0,3401.0,3339.0
6,seven_major_felony_offenses,MURDER & NON NEGL. MANSLAUGHTER                                ,0.0,1.0,0.0,1.0,3.0,1.0,3.0,5.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0
6,seven_major_felony_offenses,RAPE                                  ,7.0,5.0,7.0,11.0,7.0,12.0,6.0,7.0,5.0,9.0,13.0,15.0,15.0,8.0,11.0,8.0
6,seven_major_felony_offenses,ROBBERY                               ,378.0,293.0,313.0,249.0,257.0,228.0,214.0,207.0,187.0,147.0,148.0,155.0,148.0,140.0,99.0,114.0
6,seven_major_felony_offenses,FELONY ASSAULT                        ,169.0,132.0,92.0,121.0,96.0,102.0,123.0,127.0,93.0,106.0,94.0,111.0,111.0,135.0,128.0,93.0
6,seven_major_felony_offenses,BURGLARY                              ,277.0,294.0,299.0,277.0,339.0,305.0,280.0,203.0,282.0,232.0,176.0,182.0,140.0,132.0,163.0,148.0
6,seven_major_felony_offenses,GRAND LARCENY                         ,1393.0,1245.0,1164.0,1233.0,1344.0,1326.0,1283.0,1214.0,1131.0,1100.0,1053.0,992.0,1124.0,1253.0,1127.0,1126.0
6,seven_major_felony_offenses,GRAND LARCENY OF MOTOR VEHICLE                                  ,163.0,171.0,184.0,176.0,128.0,81.0,70.0,74.0,40.0,38.0,45.0,48.0,35.0,33.0,45.0,32.0
6,seven_major_felony_offenses,TOTAL SEVEN MAJOR FELONY OFFENSES,2387.0,2141.0,2059.0,2068.0,2174.0,2055.0,1979.0,1837.0,1738.0,1633.0,1530.0,1504.0,1574.0,1703.0,1575.0,1521.0
6,non_seven_major_felony-offenses,FELONY POSSESSION STOLEN PROPERTY            ,17.0,13.0,17.0,14.0,10.0,9.0,13.0,14.0,10.0,17.0,18.0,15.0,23.0,18.0,39.0,36.0
6,non_seven_major_felony-offenses,FORGERY/THEFT-FRAUD/IDENTITY THEFT                ,78.0,61.0,39.0,90.0,148.0,115.0,109.0,102.0,91.0,70.0,93.0,81.0,105.0,125.0,105.0,132.0
6,non_seven_major_felony-offenses,ARSON                                 ,5.0,8.0,7.0,1.0,4.0,3.0,3.0,3.0,5.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0
6,non_seven_major_felony-offenses,FELONY SEX CRIMES (3),0.0,11.0,11.0,7.0,6.0,8.0,7.0,7.0,8.0,7.0,4.0,8.0,10.0,7.0,4.0,12.0
6,non_seven_major_felony-offenses,FELONY DANGEROUS DRUGS  (1),458.0,410.0,558.0,371.0,485.0,314.0,362.0,400.0,356.0,260.0,283.0,174.0,212.0,214.0,160.0,181.0
6,non_seven_major_felony-offenses,FELONY DANGEROUS WEAPONS (2)        ,16.0,10.0,9.0,3.0,6.0,20.0,20.0,16.0,14.0,26.0,20.0,16.0,19.0,32.0,44.0,32.0
6,non_seven_major_felony-offenses,FEL. CRIMINAL MISCHIEF & RELATED OFFENSES  ,149.0,123.0,142.0,82.0,101.0,124.0,125.0,114.0,98.0,119.0,96.0,94.0,84.0,102.0,65.0,80.0
6,non_seven_major_felony-offenses,OTHER FELONIES (4),65.0,51.0,34.0,47.0,45.0,39.0,37.0,58.0,43.0,28.0,43.0,34.0,44.0,65.0,33.0,34.0
